5.00,130905.91,-88.26 
5.11,103825.73,-3.76 
5.22,105170.16,-3.84 
5.33,106823.59,-3.91 
5.44,108231.25,-3.95 
5.56,109760.01,-4.00 
5.68,111304.50,-4.06 
5.80,112816.87,-4.13 
5.92,114487.38,-4.20 
6.05,115870.39,-4.28 
6.18,117498.04,-4.36 
6.31,119015.77,-4.42 
6.45,120550.02,-4.46 
6.59,122115.16,-4.51 
6.73,123547.86,-4.55 
6.87,125125.61,-4.60 
7.02,126657.91,-4.67 
7.17,128151.99,-4.72 
7.32,129545.54,-4.78 
7.48,131129.11,-4.82 
7.64,132490.88,-4.84 
7.80,134005.97,-4.84 
7.97,135437.08,-4.84 
8.14,136778.16,-4.86 
8.32,138212.36,-4.89 
8.49,139437.33,-4.91 
8.68,140723.08,-4.93 
8.86,141952.77,-4.88 
9.05,143103.86,-4.84 
9.24,144323.39,-4.76 
9.44,145405.08,-4.68 
9.64,146449.41,-4.62 
9.85,147473.98,-4.55 
10.06,148430.95,-4.47 
10.28,149225.89,-4.37 
10.50,149884.38,-4.19 
10.72,150504.53,-3.98 
10.95,151018.45,-3.74 
11.19,151681.36,-3.46 
11.43,152145.13,-3.19 
11.67,152466.55,-2.93 
11.92,152613.88,-2.61 
12.18,152654.27,-2.22 
12.44,152598.88,-1.75 
12.70,152412.06,-1.18 
12.98,152301.84,-0.54 
13.25,152062.30,0.12 
13.54,151717.30,0.89 
13.83,151335.28,1.63 
14.12,150698.66,2.52 
14.43,149912.44,3.50 
14.74,149001.86,4.67 
15.05,148103.16,6.03 
15.37,147247.92,7.55 
15.70,146546.70,9.17 
16.04,145954.80,10.87 
16.38,145190.61,12.72 
16.73,144432.09,14.79 
17.09,143698.83,17.10 
17.46,143052.70,19.73 
17.83,142799.67,22.59 
18.21,143129.36,25.62 
18.60,143982.45,28.99 
19.00,145224.53,32.30 
19.41,146953.36,35.91 
19.83,149034.22,39.60 
20.25,151464.33,43.45 
20.68,154583.69,47.66 
21.13,158689.03,52.13 
21.58,163878.33,56.63 
22.04,170275.48,61.19 
22.51,177860.03,65.77 
23.00,185636.34,70.19 
23.49,193926.31,74.78 
23.99,202433.42,79.69 
24.51,211666.23,85.03 
25.03,221600.53,90.69 
25.57,233360.22,96.66 
26.12,246525.11,102.88 
26.67,259937.70,109.00 
27.25,273248.38,115.38 
27.83,285021.72,122.34 
28.43,294261.44,129.76 
29.03,301382.38,137.72 
29.66,307813.72,146.77 
30.29,314002.47,156.36 
30.94,320044.97,165.77 
31.60,326009.75,175.15 
32.28,329226.03,-176.21 
32.97,328186.25,-167.93 
33.68,323485.59,-160.16 
34.40,315998.38,-152.44 
35.14,308173.69,-144.52 
35.89,303350.28,-136.93 
36.66,301358.25,-129.70 
37.44,301901.03,-123.49 
38.24,302590.00,-118.54 
39.06,301364.06,-114.41 
39.90,297101.72,-110.62 
40.75,291468.09,-106.76 
41.63,287063.00,-102.54 
42.52,286630.34,-98.36 
43.43,290801.34,-94.55 
44.36,298064.75,-91.99 
45.31,304570.66,-90.62 
46.28,307399.81,-89.94 
47.27,306702.75,-89.29 
48.28,305626.34,-88.29 
49.32,307269.59,-87.20 
50.38,312769.34,-86.74 
51.45,317642.53,-87.54 
52.56,317385.34,-89.46 
53.68,308591.78,-91.50 
54.83,294731.03,-92.48 
56.01,281448.53,-92.25 
57.21,272732.59,-91.53 
58.43,267378.28,-91.17 
59.68,261314.81,-91.34 
60.96,253190.94,-91.62 
62.27,243764.89,-91.54 
63.60,234154.31,-90.87 
64.96,226434.17,-89.53 
66.35,222826.30,-88.07 
67.78,221475.72,-87.45 
69.23,218304.56,-87.44 
70.71,213938.00,-87.22 
72.23,210587.55,-86.82 
73.77,207271.86,-86.80 
75.35,203148.66,-86.55 
76.97,201068.45,-86.24 
78.62,199168.86,-86.85 
80.30,193450.38,-87.64 
82.02,186936.86,-87.40 
83.78,183421.52,-87.02 
85.57,179304.16,-87.30 
87.40,173649.98,-86.96 
89.28,170572.02,-86.24 
91.19,168239.05,-86.34 
93.14,163243.38,-86.46 
95.14,159394.00,-85.61 
97.17,158425.50,-85.33 
99.25,155408.16,-85.91 
101.38,150982.23,-85.71 
103.55,148835.69,-85.29 
105.77,146268.05,-85.77 
108.04,141695.92,-85.82 
110.35,138754.86,-85.23 
112.71,136759.17,-85.27 
115.13,133065.09,-85.43 
117.59,129832.51,-84.85 
120.11,128055.98,-84.61 
122.69,125536.38,-84.81 
125.31,122620.01,-84.62 
128.00,120503.83,-84.47 
130.74,117889.26,-84.56 
133.54,115124.01,-84.45 
136.40,112798.59,-84.23 
139.32,110538.57,-84.16 
142.31,108079.36,-83.98 
145.35,105984.95,-83.81 
